artist,name,country,gender,genere,year
03098741-08b3-4dd7-b3f6-1b0bfa2c879c,Liars,US,,,2000
69c4cc43-8163-41c5-ac81-30946d27bb69,CunninLynguists,US,,,2000
7a2e6b55-f149-4e74-be6a-30a1b1a387bb,The Desert Sessions,,,,1997
7002bf88-1269-4965-a772-4ba1e7a91eaa,Glenn Gould,CA,Male,pianist,1932
dbf7c761-e332-467b-b4d9-aafe06bbcf8f,G. Love & Special Sauce,US,,,1992
a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,U2,IE,,Irish rock band,1976
8b0f05ce-354e-4121-9e0b-8b4732ea844f,Juanes,CO,Male,,1972
8363f94f-fd86-41b8-a56b-26eacb34f499,Summoning,AT,,,1993
2e41ae9c-afd2-4f20-8f1e-17281ce9b472,Gwen Stefani,,Female,,1969
c17f08f4-2542-46fb-97f3-3202d60c225a,Fear Factory,,,,1990
4bd95eea-b9f6-4d70-a36c-cfea77431553,Alice in Chains,US,,,1987
f467181e-d5e0-4285-b47e-e853dcc89ee7,Ratatat,US,,,2001
4d9fb84a-8104-48c1-aa16-21f53c9053cc,Ignite,US,,,1993
3ff72a59-f39d-411d-9f93-2d4a86413013,The Magnetic Fields,US,,,1990
5f58803e-8c4c-478e-8b51-477f38483ede,Madness,GB,,English pop/ska band,1976
ff9deaae-da4f-42b7-a19e-36fedd3fc706,Ben Kweller,US,Male,,1981
3231d12a-c42d-4977-b2a4-a6e4d87978e1,Tosca,AT,,downtempo electro, Richard Dorfmeister & Rupert Huber,1994
756cf672-d4ae-4470-a3af-a43d776a211d,Saul Williams,US,Male,,1972
8ca01f46-53ac-4af2-8516-55a909c0905e,My Bloody Valentine,IE,,,1983
a0ef7e1d-44ff-4039-9435-7d5fefdeecc9,[theatre],XW,,Special Purpose Artist - Do not add releases here, if possible.,2009
c83907ee-8b5a-4547-8f68-96572243ea7f,Hot Water Music,US,,,1993
dbbc47a5-1338-4830-9298-a8d0b11c0a46,Joss Stone,,Female,,1987
f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,Evanescence,US,,,1995
a9965383-6bdd-49a3-a4bb-4f8008b9d80e,Stephen Lynch,US,Male,,1971
c1e5344e-1bff-4727-9417-a4f55e41b5ff,Loreena McKennitt,CA,Female,,1957
b5a31e9b-1fa2-45f9-91f5-b3a25fb38038,Municipal Waste,US,,,2000
96c1edac-1011-4cb8-882c-27248de35071,The Cramps,US,,,1976
370bd5a3-4abf-4356-8576-3a8fc0c11d65,Above & Beyond,GB,,,2000
1a120ec5-35b3-4f3e-aa49-7201550d9feb,RJD2,US,Male,,1976
2819834e-4e08-47b0-a2c4-b7672318e8f0,The Byrds,,,American rock band,1964
ffb2d3e3-a4cc-48cf-8fb0-f2f846e9d7b9,Kent,,,,
cc546218-cc08-4ae9-9592-ac1596c1470d,Propagandhi,CA,,,1986
35dac7d2-0b1f-470f-9a5a-c53c8821f6d6,Eric Prydz,SE,Male,,1976
80b3cf5e-18fe-4c59-98c7-e5bb87210710,The Roots,US,,seminal hip hop group,1987
78ea5ea1-3c4d-4b7e-ac5d-68900319ebe2,Siouxsie and the Banshees,GB,,,1976
8c32bb01-58a3-453b-8050-8c0620edb0e5,Stone Temple Pilots,US,,,1990
ea0f2a37-7007-4217-a812-396227f5013a,Kyuss,US,,,1987
4cbbf0d6-6c78-4e3d-ab25-91b13603cf7c,Lemon Jelly,,,,1998
e9aca1a3-836a-4e5e-b8d4-56d20c60af5f,Beulah,US,,US lo-fi indie band,1996
b847e9d2-c931-4daf-900c-42c7b2c42e16,Front Line Assembly,CA,,,1986
7a519099-d4c8-46c8-805b-214dab0e58a2,Amaral,ES,,,1997
be407b02-f3e6-4ed5-9489-f8e5f0ab36dc,The Raconteurs,US,,in Australia known as The Saboteurs,2005
84eac621-1c5a-49a1-9500-555099c6e184,Spoon,US,,Austin, TX rock band,1994
54b0584e-4e5e-4976-80d4-eea7a82a7213,Electric Six,US,,Detroit, USA rock,2002
4f615cfd-6365-45ce-8b2c-b461c1b3c164,Lao Che,PL,,,1999
81b96954-da0d-4d8f-a7fa-cbc77ae88a34,Mo’ Horizons,DE,,,1999
18eefb0f-7f1c-4ca4-a9b1-d0f2f11bd6b1,5'nizza,UA,,,1998
32567eb3-aeca-467f-8b89-a69b11fcb781,Primal Fear,DE,,,1997
0d82f0cd-107a-403f-a726-ac7287cbea65,The Beta Band,GB,,,1997
6b66dd3a-d88b-4732-bc13-359d8964b7f2,The Clientele,GB,,,1997
9f2524e1-cda1-4304-941e-ebb448d32a16,Hybrid,GB,,Progressive Breakbeat group from Swansea, South Wales,1993
e2c3c508-f0ab-49af-92c9-a81d66d67405,Story of the Year,US,,,1996
88e2147d-0332-46f6-85b2-b5f463ba957b,BT,US,Male,EDM producer Brian Wayne Transeau,1971
c48d4327-8122-4286-af66-05e1ee6ac4d8,Mazzy Star,US,,,1989
9072df14-b61e-42e2-b4f4-6bbb7fdb5586,Tina Turner,US,Female,American pop/R&B singer,1939
13655113-cd16-4b43-9dca-cadbbf26ee05,Nelly Furtado,CA,Female,,1978
013fa897-86db-41d3-8e9f-386c8a34f4e6,Morrissey,,Male,UK singer, The Smiths,1959
d339efbb-77b9-4147-ba9e-59f2f24550b2,Kelly Clarkson,US,Female,,1982
60530915-9371-4b16-bc31-5c4456317ae0,Natalie Imbruglia,AU,Female,,1975
f46bd570-5768-462e-b84c-c7c993bbf47e,Eagles,US,,US country rock band,1971
7c7f9c94-dee8-4903-892b-6cf44652e2de,Tears for Fears,GB,,,1982
f1a95c6b-fb2a-41a6-bfcb-2453fee2a38c,,,,,
